code,province,city,latitude,longitude,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
11030,Busan,Gijang-gun,35.244881,129.222253,15.45,7.4,229
11040,Busan,Nam-gu,35.136789,129.08414,19.13,7.9,475
11050,Busan,Dong-gu,35.129432,129.04554,25.42,13.8,239
11060,Busan,Dongnae-gu,35.20506,129.083673,17.53,7.7,608
11070,Busan,Busanjin-gu,35.163332,129.053058,19.01,8.7,986
11080,Busan,Buk-gu,35.197483,128.990224,16.04,8.4,465
11090,Busan,Sasang-gu,35.152777,128.991142,17,8.1,317
11100,Busan,Saha-gu,35.104642,128.974792,17.76,8.1,541
11110,Busan,Seo-gu,35.098135,129.024193,24.36,12.3,235
11120,Busan,Suyeong-gu,35.145805,129.113194,20.4,8.2,395
11130,Busan,Yeonje-gu,35.176406,129.079566,18.27,7.8,450
11140,Busan,Yeongdo-gu,35.091362,129.067884,26.13,13.3,203
11150,Busan,Jung-gu,35.106321,129.032256,26,13,182
11160,Busan,Haeundae-gu,35.16336,129.163594,16.53,7.9,814
12000,Daegu,Daegu,35.87215,128.601783,15.78,7.5,5083
12010,Daegu,Nam-gu,35.8463,128.597723,22.49,10.4,345
12020,Daegu,Dalseo-gu,35.830128,128.532635,13.56,6.5,1064
12030,Daegu,Dalseong-gun,35.77475,128.431314,12.11,5.4,361
12040,Daegu,Dong-gu,35.886836,128.635537,18.81,9,649
12050,Daegu,Buk-gu,35.892506,128.583779,13.95,6.3,748
12060,Daegu,Seo-gu,35.871993,128.559182,21.29,10.1,374
12070,Daegu,Suseong-gu,35.858395,128.630551,15,6.9,948
12080,Daegu,Jung-gu,35.869551,128.606184,20.29,9.6,594
13000,Gwangju,Gwangju,35.160467,126.851392,13.57,6.4,2852
13010,Gwangju,Gwangsan-gu,35.139941,126.7937,9.1,4.6,640
13020,Gwangju,Nam-gu,35.132982,126.902379,16.76,7.5,427
13030,Gwangju,Dong-gu,35.14626,126.923133,21.59,8.8,327
13040,Gwangju,Buk-gu,35.174434,126.912061,14.35,6.9,782
13050,Gwangju,Seo-gu,35.152516,126.889614,13.52,6.1,676
14000,Incheon,Incheon,37.456188,126.70592,13.2,5.8,4497
14010,Incheon,Ganghwa-gun,37.747065,126.487777,31.97,13.9,107
14020,Incheon,Gyeyang-gu,37.537537,126.737712,11.81,5.2,477
14030,Incheon,Michuhol-gu,37.463572,126.65027,16.29,6.8,643
14040,Incheon,Namdong-gu,37.44727,126.731429,12.68,5.5,955
14050,Incheon,Dong-gu,37.474101,126.643266,21.62,10.5,122
14060,Incheon,Bupyeong-gu,37.507031,126.721804,13.83,6.2,847
14070,Incheon,Seo-gu,37.545557,126.675994,10.02,3.9,670
14080,Incheon,Yeonsu-gu,37.410262,126.678309,9.48,4,467
14090,Incheon,Ongjin-gun,37.446777,126.636747,25.35,11.1,32
14100,Incheon,Jung-gu,37.473761,126.621693,14.14,6.7,177
15000,Daejeon,Daejeon,36.350621,127.384744,13.65,5.8,2984
15010,Daejeon,Daedeok-gu,36.346713,127.415597,14.97,6.9,310
15020,Daejeon,Dong-gu,36.31204,127.454742,18.16,8.1,447
15030,Daejeon,Seo-gu,36.35553,127.383755,12.05,4.9,1123
15040,Daejeon,Yuseong-gu,36.362226,127.356153,9.04,3.3,586
15050,Daejeon,Jung-gu,36.325735,127.421317,18.39,8.2,518
16000,Ulsan,Ulsan,35.539797,129.311538,11.76,5.2,1801
16010,Ulsan,Nam-gu,35.543833,129.330047,11.42,4.8,765
16020,Ulsan,Dong-gu,35.504806,129.416575,11.68,4.4,242
16030,Ulsan,Buk-gu,35.582685,129.36124,7.69,3.4,211
16040,Ulsan,Ulju-gun,35.522126,129.242507,13.94,6.7,260
16050,Ulsan,Jung-gu,35.569468,129.332773,14.15,6.5,323
17000,Sejong,Sejong,36.480132,127.289021,9.48,3.8,491
20000,Gyeonggi-do,Gyeonggi-do,37.275119,127.009466,12.63,5.2,20491
20010,Gyeonggi-do,Gapyeong-gun,37.831297,127.509555,25.09,12,114
20020,Gyeonggi-do,Goyang-si,37.658363,126.831961,12.82,5.2,1608
20030,Gyeonggi-do,Gwacheon-si,37.42915,126.987616,13.98,5.7,92
20040,Gyeonggi-do,Gwangmyeong-si,37.478541,126.864648,13.25,5.8,530
20050,Gyeonggi-do,Gwangju-si,37.429322,127.255153,12.65,4,406
20060,Gyeonggi-do,Guri-si,37.594267,127.129549,12.88,5.1,418
20070,Gyeonggi-do,Gunpo-si,37.361653,126.935206,12.42,5.4,429
20080,Gyeonggi-do,Gimpo-si,37.615238,126.715601,12.1,4.4,604
20090,Gyeonggi-do,Namyangju-si,37.635791,127.216552,13.44,5,912
20100,Gyeonggi-do,Dongducheon-si,37.903568,127.060347,19.56,9.7,140
20110,Gyeonggi-do,Bucheon-si,37.503393,126.766049,12.77,5.4,1432
20120,Gyeonggi-do,Seongnam-si,37.42,127.126703,13.52,5.6,2095
20130,Gyeonggi-do,Suwon-si,37.263376,127.028613,10.5,4.5,2082
20140,Gyeonggi-do,Siheung-si,37.38011,126.803009,8.86,3.8,622
20150,Gyeonggi-do,Ansan-si,37.321863,126.83092,10.35,4.6,1024
20160,Gyeonggi-do,Anseong-si,37.008008,127.279763,16.95,7.2,271
20170,Gyeonggi-do,Anyang-si,37.394258,126.956752,12.88,5.1,1099
20180,Gyeonggi-do,Yangju-si,37.785253,127.045823,15.23,6.3,252
20190,Gyeonggi-do,Yangpyeong-gun,37.491744,127.48757,24.66,11.1,178
20200,Gyeonggi-do,Yeoju-si,37.298209,127.637351,21.05,8.8,191
20210,Gyeonggi-do,Yeoncheon-gun,38.096409,127.075067,25.41,12.7,69
20220,Gyeonggi-do,Osan-si,37.149854,127.077461,9.09,3.6,314
20230,Gyeonggi-do,Yongin-si,37.240985,127.17805,12.77,4.1,1429
20240,Gyeonggi-do,Uiwang-si,37.344649,126.968299,12.99,5,189
20250,Gyeonggi-do,Uijeongbu-si,37.738058,127.033716,14.61,6.4,729
20260,Gyeonggi-do,Icheon-si,37.272169,127.434991,13.71,5.8,333
20270,Gyeonggi-do,Paju-si,37.759818,126.7799,13.52,5.3,573
20280,Gyeonggi-do,Pyeongtaek-si,36.992293,127.112709,12.13,5.6,765
20290,Gyeonggi-do,Pocheon-si,37.894881,127.200346,18.92,8.2,209
20300,Gyeonggi-do,Hanam-si,37.53926,127.214944,12.43,4.8,381
20310,Gyeonggi-do,Hwaseong-si,37.199536,126.83133,8.58,3.3,1001
30000,Gangwon-do,Gangwon-do,37.885369,127.729868,19.89,9.8,2519
30010,Gangwon-do,Gangneung-si,37.75197,128.875928,20.46,9.6,347
30020,Gangwon-do,Goseong-gun,38.380571,128.467827,28.53,14.6,41
30030,Gangwon-do,Donghae-si,37.524689,129.114239,19.41,10.1,140
30040,Gangwon-do,Samcheok-si,37.449899,129.165365,24.26,13,94
30050,Gangwon-do,Sokcho-si,38.207022,128.591861,18.33,9.7,165
30060,Gangwon-do,Yanggu-gun,38.110002,127.990092,20.38,9.9,33
30070,Gangwon-do,Yangyang-gun,38.075405,128.619125,28.92,14.6,37
30080,Gangwon-do,Yeongwol-gun,37.183694,128.461835,28.54,15.4,56
30090,Gangwon-do,Wonju-si,37.341963,127.919668,14.46,6.7,597
30100,Gangwon-do,Inje-gun,38.069682,128.170335,19.88,10.4,46
30110,Gangwon-do,Jeongseon-gun,37.38062,128.660873,26.79,13.9,53
30120,Gangwon-do,Cheorwon-gun,38.146693,127.3134,21.8,11.1,70
30130,Gangwon-do,Chuncheon-si,37.881281,127.730088,17.1,7.6,472
30140,Gangwon-do,Taebaek-si,37.16406,128.985736,23.88,12.8,64
30150,Gangwon-do,Pyeongchang-gun,37.370743,128.390335,27.04,13.7,84
30160,Gangwon-do,Hongcheon-gun,37.697037,127.888821,25.28,12.6,115
30170,Gangwon-do,Hwacheon-gun,38.106152,127.708163,21.75,11.2,36
30180,Gangwon-do,Hoengseong-gun,37.491702,127.985042,28.22,13.3,69
40000,Chungcheongbuk-do,Chungcheongbuk-do,36.63568,127.491384,17.28,8.5,2769
40010,Chungcheongbuk-do,Goesan-gun,36.81534,127.786651,33.01,16.5,64
40020,Chungcheongbuk-do,Danyang-gun,36.984657,128.365476,29.52,15.8,52
40030,Chungcheongbuk-do,Boeun-gun,36.489402,127.729503,33.46,18.4,74
40040,Chungcheongbuk-do,Yeongdong-gun,36.175017,127.783431,30.32,16.1,108
40050,Chungcheongbuk-do,Okcheon-gun,36.306367,127.57128,28.83,14.9,107
40060,Chungcheongbuk-do,Eumseong-gun,36.940237,127.690502,20.33,9.2,169
40070,Chungcheongbuk-do,Jecheon-si,37.132583,128.190946,20.92,10.5,245
40080,Chungcheongbuk-do,Jeungpyeong-gun,36.785301,127.581481,16.59,8.7,62
40090,Chungcheongbuk-do,Jincheon-gun,36.855374,127.435635,16.16,8.3,121
40100,Chungcheongbuk-do,Cheongju-si,36.641876,127.488759,12.82,6,1420
40110,Chungcheongbuk-do,Chungju-si,36.991009,127.925946,19.07,9,347
41000,Chungcheongnam-do,Chungcheongnam-do,36.658976,126.673318,18.4,8.9,3641
41010,Chungcheongnam-do,Gyeryong-si,36.274481,127.248557,11.3,5.1,61
41020,Chungcheongnam-do,Gongju-si,36.446508,127.11903,25.2,11.7,221
41030,Chungcheongnam-do,Geumsan-gun,36.108887,127.487966,30.15,14.8,119
41040,Chungcheongnam-do,Nonsan-si,36.187076,127.098959,25.54,13.4,262
41050,Chungcheongnam-do,Dangjin-si,36.889777,126.645814,18.14,7.9,265
41060,Chungcheongnam-do,Boryeong-si,36.333317,126.612679,25.04,12.6,186
41070,Chungcheongnam-do,Buyeo-gun,36.275673,126.90979,33.3,17.4,137
41080,Chungcheongnam-do,Seosan-si,36.784751,126.450289,18.01,8.4,261
41090,Chungcheongnam-do,Seocheon-gun,36.080266,126.691394,35.25,18.9,116
41100,Chungcheongnam-do,Asan-si,36.789844,127.00242,12.89,6.1,435
41110,Chungcheongnam-do,Yesan-gun,36.680222,126.844687,30.27,14.5,156
41120,Chungcheongnam-do,Cheonan-si,36.81498,127.113868,10.42,4.5,1069
41130,Chungcheongnam-do,Cheongyang-gun,36.459129,126.802333,34.51,18,62
41140,Chungcheongnam-do,Taean-gun,36.745577,126.29795,29.98,13.8,112
41150,Chungcheongnam-do,Hongseong-gun,36.60126,126.660772,23.11,11.3,179
50000,Jeollabuk-do,Jeollabuk-do,35.820308,127.108791,20.6,10.9,3774
50010,Jeollabuk-do,Gochang-gun,35.435767,126.702152,33.33,20.6,123
50020,Jeollabuk-do,Gunsan-si,35.967631,126.737011,18.07,8.8,494
50030,Jeollabuk-do,Gimje-si,35.803506,126.880507,30.89,17.9,188
50040,Jeollabuk-do,Namwon-si,35.416349,127.390265,27.25,16.3,186
50050,Jeollabuk-do,Muju-gun,36.006777,127.660789,32.71,18.7,53
50060,Jeollabuk-do,Buan-gun,35.731805,126.733347,32.2,19.1,118
50070,Jeollabuk-do,Sunchang-gun,35.374421,127.137597,32.97,20.2,72
50080,Jeollabuk-do,Wanju-gun,35.904724,127.162209,22.38,9.8,170
50090,Jeollabuk-do,Iksan-si,35.948229,126.957792,18.85,9.3,556
50100,Jeollabuk-do,Imsil-gun,35.617891,127.288868,34.82,20.1,79
50110,Jeollabuk-do,Jangsu-gun,35.647281,127.521204,32.87,19.1,44
50120,Jeollabuk-do,Jeonju-si,35.824069,127.14805,14.4,6.8,1381
50130,Jeollabuk-do,Jeongeup-si,35.569768,126.856148,26.92,15.9,256
50140,Jeollabuk-do,Jinan-gun,35.791669,127.424806,33.8,19.5,54
51000,Jeollanam-do,Jeollanam-do,34.816095,126.463021,22.81,13.5,3389
51010,Jeollanam-do,Gangjin-gun,34.642006,126.767267,33.87,21.7,71
51020,Jeollanam-do,Goheung-gun,34.61117,127.285055,40.04,24.5,141
51030,Jeollanam-do,Gokseong-gun,35.282015,127.292107,35.16,22.5,70
